"exam_date"	"exam_year"	"exam_month"	"has_order"	"has_order_b"	"ex_on_behalf"	"count_exts"	"count_names"	"ext_gender"	"names_gender"	"has_child16"	"child16_only"	"b_child16"	"exam_type"	"exam_type_bsv"	"ext_type"	"bastardy_s"	"exam_id"	"rv_id"	"multi_rv_id"
"1753-01-23"	1753	1	"yes"	1	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110153"	"WCCDRV36900_0109"	""
"1753-01-26"	1753	1	"no"	0	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110154"	""	""
"1753-01-27"	1753	1	"yes"	1	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110155"	"WCCDRV36900_0098"	""
"1753-01-30"	1753	1	"no"	0	0	1	3	"f"	"fm"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110156"	""	""
"1753-01-30"	1753	1	"no"	0	0	1	3	"f"	"fm"	0	0	0	"bastardy"	"b"	"single_examinant"	"bastardmother"	"WCCDEP358110157"	""	""
"1753-01-31"	1753	1	"yes"	1	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110159"	"WCCDRV36900_0117"	""
"1753-01-31"	1753	1	"yes"	1	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110160"	"WCCDRV36900_0110"	""
"1753-01-31"	1753	1	"yes"	1	0	1	3	"f"	"fm"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110161"	"WCCDRV36900_0099"	""
"1753-02-01"	1753	2	"yes"	1	0	1	1	"m"	"m"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110162"	"WCCDRV36900_0118"	""
"1753-02-02"	1753	2	"no"	0	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110163"	""	""
"1753-02-03"	1753	2	"no"	0	0	1	3	"f"	"fm"	1	0	1	"settlement"	"sv"	"single_examinant"	"bastardmother"	"WCCDEP358110164"	""	""
"1753-02-03"	1753	2	"no"	0	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110166"	""	""
"1753-02-05"	1753	2	"yes"	1	0	1	2	"f"	"fm"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110167"	"WCCDRV36900_0104"	""
"1753-02-05"	1753	2	"no"	0	0	1	2	"f"	"fm"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110168"	""	""
"1753-02-06"	1753	2	"yes"	1	0	1	2	"f"	"fm"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110169"	"WCCDRV36900_0119"	""
"1753-02-07"	1753	2	"yes"	1	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110170"	"WCCDRV36900_0101"	""
"1753-02-10"	1753	2	"yes"	1	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110171"	"WCCDRV36900_0120"	""
"1753-02-12"	1753	2	"no"	0	0	1	2	"m"	"fm"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110174"	""	""
"1753-02-13"	1753	2	"no"	0	0	1	2	"f"	"fm"	0	0	0	"bastardy"	"b"	"single_examinant"	"bastardmother"	"WCCDEP358110177"	""	""
"1753-02-14"	1753	2	"no"	0	0	1	2	"m"	"fm"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110176"	""	""
"1753-02-14"	1753	2	"no"	0	0	1	4	"m"	"fm"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110178"	""	""
"1753-02-16"	1753	2	"yes"	1	0	1	2	"f"	"fm"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110179"	"WCCDRV36900_0102"	""
"1753-02-16"	1753	2	"yes"	1	0	1	1	"m"	"m"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110180"	"WCCDRV36900_0103"	""
"1753-02-17"	1753	2	"no"	0	0	1	2	"m"	"fm"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110181"	""	""
"1753-02-20"	1753	2	"no"	0	0	1	1	"m"	"m"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110182"	""	""
"1753-02-21"	1753	2	"yes"	1	0	1	2	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110183"	"WCCDRV36900_0123"	""
"1753-02-21"	1753	2	"yes"	1	0	1	4	"m"	"fm"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110184"	"WCCDRV36900_0124"	""
"1753-02-21"	1753	2	"yes"	1	0	1	2	"f"	"fm"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110185"	"WCCDRV36900_0122"	""
"1753-02-21"	1753	2	"yes"	1	0	1	5	"f"	"fm"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110186"	"WCCDRV36900_0121"	""
"1753-02-22"	1753	2	"yes"	1	0	1	1	"m"	"m"	1	1	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110187"	"WCCDRV36900_0125"	""
"1753-02-22"	1753	2	"no"	0	0	1	2	"f"	"fm"	0	0	0	"bastardy"	"b"	"single_examinant"	"bastardmother"	"WCCDEP358110188"	""	""
"1753-02-23"	1753	2	"no"	0	0	1	3	"f"	"fm"	1	0	1	"settlement"	"sv"	"single_examinant"	"bastardmother"	"WCCDEP358110175"	""	""
"1753-02-24"	1753	2	"no"	0	0	1	1	"m"	"m"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110189"	""	""
"1753-02-24"	1753	2	"no"	0	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110190"	""	""
"1753-02-24"	1753	2	"yes"	1	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110191"	"WCCDRV36900_0127"	""
"1753-02-24"	1753	2	"yes"	1	1	1	3	"m"	"fm"	1	1	0	"settlement"	"sv"	"single_on_behalf"	""	"WCCDEP358110194_494"	"WCCDRV36900_0126"	""
"1753-02-27"	1753	2	"no"	0	0	1	1	"m"	"m"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110195"	""	""
"1753-03-00"	1753	3	"yes"	1	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110225"	"WCCDRV36900_0136"	""
"1753-03-02"	1753	3	"no"	0	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110196"	""	""
"1753-03-02"	1753	3	"no"	0	0	1	4	"f"	"fm"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110197"	""	""
"1753-03-05"	1753	3	"no"	0	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110200"	""	""
"1753-03-07"	1753	3	"no"	0	0	1	4	"f"	"fm"	1	0	1	"settlement"	"sv"	"single_examinant"	"bastardmother"	"WCCDEP358110201"	""	""
"1753-03-08"	1753	3	"no"	0	1	1	2	"m"	"fm"	1	1	1	"settlement"	"sv"	"single_on_behalf"	"bastard"	"WCCDEP358110203"	""	""
"1753-03-13"	1753	3	"no"	0	0	1	4	"f"	"fm"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110206"	""	""
"1753-03-14"	1753	3	"no"	0	0	1	2	"f"	"fm"	0	0	0	"bastardy"	"b"	"single_examinant"	"bastardmother"	"WCCDEP358110208"	""	""
"1753-03-15"	1753	3	"yes"	1	0	1	3	"f"	"fm"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110210"	"WCCDRV36900_0130"	""
"1753-03-15"	1753	3	"no"	0	0	1	6	"f"	"fm"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110211"	""	""
"1753-03-17"	1753	3	"no"	0	0	1	3	"f"	"fm"	1	0	0	"bastardy"	"b"	"single_examinant"	"bastardmother"	"WCCDEP358110212"	""	""
"1753-03-24"	1753	3	"no"	0	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110214"	""	""
"1753-03-26"	1753	3	"yes"	1	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110215"	""	"WCCDRV36900_0131 | WCCDRV36900_0132"
"1753-03-27"	1753	3	"no"	0	0	1	2	"f"	"fm"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110216"	""	""
"1753-03-27"	1753	3	"yes"	1	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110217"	"WCCDRV36900_0135"	""
"1753-03-27"	1753	3	"yes"	1	0	1	1	"m"	"m"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110218"	"WCCDRV36900_0134"	""
"1753-03-27"	1753	3	"yes"	1	0	1	1	"m"	"m"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110219"	"WCCDRV36900_0133"	""
"1753-03-28"	1753	3	"yes"	1	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110220"	"WCCDRV36900_135a"	""
"1753-03-30"	1753	3	"yes"	1	0	1	1	"m"	"m"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110221"	"WCCDRV36900_135b"	""
"1753-03-31"	1753	3	"no"	0	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110222"	""	""
"1753-03-31"	1753	3	"no"	0	0	1	2	"m"	"fm"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110223"	""	""
"1753-03-31"	1753	3	"no"	0	0	1	1	"f"	"f"	1	1	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110224"	""	""
"1753-04-00"	1753	4	"no"	0	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110230"	""	""
"1753-04-04"	1753	4	"no"	0	0	1	2	"f"	"fm"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110226"	""	""
"1753-04-06"	1753	4	"no"	0	0	1	2	"f"	"fm"	0	0	0	"bastardy"	"b"	"single_examinant"	"bastardmother"	"WCCDEP358110228"	""	""
"1753-04-06"	1753	4	"no"	0	0	1	2	"f"	"fm"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110229"	""	""
"1753-04-10"	1753	4	"yes"	1	0	1	1	"m"	"m"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110231"	"WCCDRV36900_0137"	""
"1753-04-10"	1753	4	"yes"	1	0	1	1	"m"	"m"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110232"	"WCCDRV36900_0138"	""
"1753-04-13"	1753	4	"yes"	1	0	1	3	"f"	"fm"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110233"	"WCCDRV36900_0139"	""
"1753-04-13"	1753	4	"no"	0	0	1	4	"f"	"fm"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110236"	""	""
"1753-04-14"	1753	4	"no"	0	0	1	3	"f"	"fm"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110237"	""	""
"1753-04-18"	1753	4	"yes"	1	0	1	3	"f"	"fm"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110238"	"WCCDRV36900_0140"	""
"1753-04-19"	1753	4	"yes"	1	0	1	1	"m"	"m"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110239"	"WCCDRV36900_0141"	""
"1753-04-20"	1753	4	"no"	0	0	1	4	"f"	"fm"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110240"	""	""
"1753-05-00"	1753	5	"no"	0	1	1	2	"f"	"f"	0	0	0	"settlement"	"sv"	"single_on_behalf"	""	"WCCDEP358110253"	""	""
"1753-05-01"	1753	5	"yes"	1	0	1	1	"f"	"f"	1	1	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110241"	"WCCDRV36900_0142"	""
"1753-05-05"	1753	5	"yes"	1	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110244"	"WCCDRV36900_0143"	""
"1753-05-08"	1753	5	"yes"	1	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110245"	"WCCDRV36900_0144"	""
"1753-05-08"	1753	5	"no"	0	0	1	2	"f"	"fm"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110246"	""	""
"1753-05-12"	1753	5	"yes"	1	0	1	1	"m"	"m"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110247"	"WCCDRV36900_0145"	""
"1753-05-15"	1753	5	"yes"	1	1	2	2	"m"	"m"	1	1	0	"settlement"	"sv"	"multi_on_behalf"	""	"WCCDEP358110248"	"WCCDRV36900_0146"	""
"1753-05-25"	1753	5	"yes"	1	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110249"	"WCCDRV36900_0147"	""
"1753-05-26"	1753	5	"yes"	1	0	1	4	"f"	"fm"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110250"	"WCCDRV36900_0148"	""
"1753-05-28"	1753	5	"yes"	1	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110251"	"WCCDRV36900_0149"	""
"1753-05-29"	1753	5	"no"	0	1	1	1	"f"	"f"	1	1	1	"settlement"	"sv"	"single_on_behalf"	"bastard"	"WCCDEP358110252"	""	""
"1753-06-00"	1753	6	"yes"	1	0	1	3	"f"	"fm"	1	0	1	"settlement"	"sv"	"single_examinant"	"bastardmother"	"WCCDEP358110258"	"WCCDRV36900_0153"	""
"1753-06-02"	1753	6	"no"	0	1	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_on_behalf"	""	"WCCDEP358110254"	""	""
"1753-06-04"	1753	6	"no"	0	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110255"	""	""
"1753-06-08"	1753	6	"yes"	1	0	1	1	"m"	"m"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110256"	"WCCDRV36900_0151"	""
"1753-06-08"	1753	6	"no"	0	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110257"	""	""
"1753-06-12"	1753	6	"yes"	1	0	1	4	"f"	"fm"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110260"	"WCCDRV36900_0152"	""
"1753-06-18"	1753	6	"no"	0	0	1	4	"f"	"fm"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110261"	""	""
"1753-06-18"	1753	6	"no"	0	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110262"	""	""
"1753-06-19"	1753	6	"no"	0	0	1	2	"f"	"fm"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110263"	""	""
"1753-06-19"	1753	6	"yes"	1	0	1	5	"f"	"fm"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110264"	"WCCDRV36900_0154"	""
"1753-06-19"	1753	6	"yes"	1	0	1	1	"m"	"m"	1	1	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110265"	"WCCDRV36900_0155"	""
"1753-06-23"	1753	6	"yes"	1	0	1	3	"f"	"fm"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110266"	"WCCDRV36900_0156"	""
"1753-06-23"	1753	6	"yes"	1	0	1	5	"f"	"fm"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110267"	"WCCDRV36900_0157"	""
"1753-06-27"	1753	6	"yes"	1	0	1	3	"f"	"fm"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110268"	"WCCDRV36900_0158"	""
"1753-07-02"	1753	7	"no"	0	0	1	2	"f"	"fm"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110269"	""	""
"1753-07-03"	1753	7	"yes"	1	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110270"	"WCCDRV36900_0159"	""
"1753-07-06"	1753	7	"yes"	1	0	1	1	"m"	"m"	1	1	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110271"	"WCCDRV36900_0160"	""
"1753-07-10"	1753	7	"no"	0	0	1	2	"f"	"fm"	0	0	0	"settlement"	"sv"	"single_examinant"	"bastardmother"	"WCCDEP358110272"	""	""
"1753-07-11"	1753	7	"yes"	1	0	1	1	"m"	"m"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110273"	"WCCDRV36900_0161"	""
"1753-07-14"	1753	7	"yes"	1	0	1	1	"m"	"m"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110274"	"WCCDRV36900_0162"	""
"1753-07-16"	1753	7	"no"	0	0	1	2	"f"	"fm"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110275"	""	""
"1753-07-18"	1753	7	"yes"	1	0	1	2	"f"	"f"	1	0	1	"settlement"	"sv"	"single_examinant"	"bastardmother"	"WCCDEP358110276"	"WCCDRV36900_0163"	""
"1753-07-23"	1753	7	"no"	0	0	1	5	"f"	"fm"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110277"	""	""
"1753-07-27"	1753	7	"yes"	1	0	1	3	"m"	"fm"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110278"	"WCCDRV36900_0164"	""
"1753-07-28"	1753	7	"no"	0	0	1	3	"m"	"fm"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110279"	""	""
"1753-08-00"	1753	8	"yes"	1	0	1	2	"f"	"fm"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110296"	"WCCDRV36900_0175"	""
"1753-08-01"	1753	8	"no"	0	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110280"	""	""
"1753-08-03"	1753	8	"yes"	1	0	1	2	"f"	"f"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110282"	"WCCDRV36900_0165"	""
"1753-08-06"	1753	8	"no"	0	0	1	2	"f"	"fm"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110283"	""	""
"1753-08-06"	1753	8	"no"	0	0	1	1	"m"	"m"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110284"	""	""
"1753-08-07"	1753	8	"yes"	1	0	1	3	"f"	"fm"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110285"	"WCCDRV36900_0166"	""
"1753-08-10"	1753	8	"no"	0	0	1	6	"f"	"fm"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110286"	""	""
"1753-08-11"	1753	8	"yes"	1	0	1	3	"f"	"fm"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110287"	"WCCDRV36900_0168"	""
"1753-08-11"	1753	8	"no"	0	0	1	2	"f"	"fm"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110288"	""	""
"1753-08-11"	1753	8	"yes"	1	1	1	1	"m"	"m"	0	0	0	"settlement"	"sv"	"single_on_behalf"	""	"WCCDEP358110289"	"WCCDRV36900_0167"	""
"1753-08-13"	1753	8	"yes"	1	0	1	2	"f"	"fm"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110290"	"WCCDRV36900_0169"	""
"1753-08-14"	1753	8	"yes"	1	0	1	2	"f"	"f"	1	0	1	"settlement"	"sv"	"single_examinant"	"bastardmother"	"WCCDEP358110291"	"WCCDRV36900_0170"	""
"1753-08-16"	1753	8	"yes"	1	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110292"	"WCCDRV36900_0172"	""
"1753-08-16"	1753	8	"yes"	1	0	1	2	"f"	"fm"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110293"	"WCCDRV36900_0174"	""
"1753-08-16"	1753	8	"yes"	1	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110294"	"WCCDRV36900_0171"	""
"1753-08-17"	1753	8	"yes"	1	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110295"	"WCCDRV36900_0176"	""
"1753-08-17"	1753	8	"yes"	1	0	1	2	"f"	"fm"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110297"	"WCCDRV36900_0173"	""
"1753-08-17"	1753	8	"yes"	1	0	1	3	"f"	"fm"	1	0	1	"settlement"	"sv"	"single_examinant"	"bastardmother"	"WCCDEP358110298"	"WCCDRV36900_0177"	""
"1753-08-21"	1753	8	"yes"	1	0	1	3	"m"	"fm"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110299"	"WCCDRV36900_0178"	""
"1753-08-23"	1753	8	"yes"	1	0	1	2	"f"	"fm"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110302"	"WCCDRV36900_0179"	""
"1753-08-24"	1753	8	"yes"	1	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110303"	"WCCDRV36900_0180"	""
"1753-08-24"	1753	8	"no"	0	0	1	2	"f"	"fm"	0	0	0	"settlement"	"sv"	"single_examinant"	"bastardmother"	"WCCDEP358110304"	""	""
"1753-08-25"	1753	8	"yes"	1	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110305"	"WCCDRV36900_0181"	""
"1753-09-00"	1753	9	"no"	0	0	1	2	"f"	"fm"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110309"	""	""
"1753-09-03"	1753	9	"no"	0	0	1	2	"f"	"fm"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110321"	""	""
"1753-09-05"	1753	9	"no"	0	0	1	1	"m"	"m"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110306"	""	""
"1753-09-10"	1753	9	"no"	0	0	1	4	"f"	"fm"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110307"	""	""
"1753-09-12"	1753	9	"yes"	1	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110308"	"WCCDRV36900_0182"	""
"1753-09-13"	1753	9	"no"	0	0	1	2	"m"	"fm"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110310"	""	""
"1753-09-13"	1753	9	"no"	0	0	1	1	"m"	"m"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110311"	""	""
"1753-09-14"	1753	9	"yes"	1	0	1	3	"f"	"fm"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110312"	"WCCDRV36900_0183"	""
"1753-09-14"	1753	9	"no"	0	0	1	3	"f"	"fm"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110313"	""	""
"1753-09-15"	1753	9	"no"	0	0	1	2	"f"	"fm"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110314"	""	""
"1753-09-22"	1753	9	"yes"	1	0	1	1	"m"	"m"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110315"	"WCCDRV36900_0184"	""
"1753-09-25"	1753	9	"no"	0	0	1	6	"m"	"fm"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110317"	""	""
"1753-09-28"	1753	9	"no"	0	0	1	3	"f"	"fm"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110318"	""	""
"1753-09-29"	1753	9	"yes"	1	0	1	3	"m"	"fm"	1	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110319"	"WCCDRV36900_0185"	""
"1753-10-04"	1753	10	"no"	0	0	1	2	"f"	"fm"	1	0	1	"settlement"	"sv"	"single_examinant"	"bastardmother"	"WCCDEP358110322"	""	""
"1753-10-04"	1753	10	"yes"	1	0	1	1	"f"	"f"	0	0	0	"settlement"	"sv"	"single_examinant"	""	"WCCDEP358110323"	"WCCDRV36900_0186"	""
